date,ward,day_of_week,is_weekend,month,fill_level,capacity_kg,previous_day_kg,avg_3_day_kg,avg_7_day_kg,waste_generated_kg
2025-03-23,Ward 12,6,1,3,96.22,120.0,117.37,114.89,112.69,117.25
2025-03-24,Ward 12,0,0,3,89.7,120.0,117.25,115.22,111.78,107.83
2025-03-25,Ward 12,1,0,3,85.07,120.0,107.83,114.15,111.58,105.69
2025-03-26,Ward 12,2,0,3,78.47,120.0,105.69,110.26,112.44,103.75
2025-03-27,Ward 12,3,0,3,74.92,120.0,103.75,105.76,111.31,109.42
2025-03-28,Ward 12,4,0,3,78.99,120.0,109.42,106.29,110.33,107.73
2025-03-29,Ward 12,5,1,3,73.96,120.0,107.73,106.97,109.86,120.87
2025-03-30,Ward 12,6,1,3,95.37,120.0,120.87,112.67,110.36,124.05
2025-03-31,Ward 12,0,0,3,88.6,120.0,124.05,117.55,111.33,117.26
2025-04-01,Ward 12,1,0,4,92.05,120.0,117.26,120.73,112.68,109.1
2025-04-02,Ward 12,2,0,4,79.04,120.0,109.1,116.8,113.17,112.08
2025-04-03,Ward 12,3,0,4,84.85,120.0,112.08,112.81,114.36,120.58
2025-04-04,Ward 12,4,0,4,88.23,120.0,120.58,113.92,115.95,113.63
2025-04-05,Ward 12,5,1,4,76.71,120.0,113.63,115.43,116.8,133.19
2025-04-06,Ward 12,6,1,4,99.0,120.0,133.19,122.47,118.56,127.98
2025-04-07,Ward 12,0,0,4,89.41,120.0,127.98,124.93,119.12,126.92
2025-04-08,Ward 12,1,0,4,85.21,120.0,126.92,129.36,120.5,106.1
2025-04-09,Ward 12,2,0,4,82.69,120.0,106.1,120.33,120.07,103.43
2025-04-10,Ward 12,3,0,4,78.0,120.0,103.43,112.15,118.83,107.12
2025-04-11,Ward 12,4,0,4,81.71,120.0,107.12,105.55,116.91,123.97
2025-04-12,Ward 12,5,1,4,89.6,120.0,123.97,111.51,118.39,132.42
2025-04-13,Ward 12,6,1,4,83.48,120.0,132.42,121.17,118.28,126.44
2025-04-14,Ward 12,0,0,4,86.27,120.0,126.44,127.61,118.06,109.6
2025-04-15,Ward 12,1,0,4,76.98,120.0,109.6,122.82,115.58,101.49
2025-04-16,Ward 12,2,0,4,81.55,120.0,101.49,112.51,114.92,95.11
2025-04-17,Ward 12,3,0,4,73.67,120.0,95.11,102.07,113.74,100.76
2025-04-18,Ward 12,4,0,4,74.94,120.0,100.76,99.12,112.83,117.63
2025-04-19,Ward 12,5,1,4,88.41,120.0,117.63,104.5,111.92,132.98
2025-04-20,Ward 12,6,1,4,93.26,120.0,132.98,117.12,112.0,122.7
2025-04-21,Ward 12,0,0,4,87.34,120.0,122.7,124.44,111.47,115.88
2025-04-22,Ward 12,1,0,4,85.65,120.0,115.88,123.85,112.36,99.41
2025-04-23,Ward 12,2,0,4,76.3,120.0,99.41,112.66,112.07,102.3
2025-04-24,Ward 12,3,0,4,90.0,120.0,102.3,105.86,113.09,118.94
2025-04-25,Ward 12,4,0,4,82.16,120.0,118.94,106.88,115.69,117.16
2025-04-26,Ward 12,5,1,4,78.14,120.0,117.16,112.8,115.62,120.16
2025-04-27,Ward 12,6,1,4,88.66,120.0,120.16,118.75,113.79,128.91
2025-04-28,Ward 12,0,0,4,88.18,120.0,128.91,122.08,114.68,112.81
2025-04-29,Ward 12,1,0,4,72.37,120.0,112.81,120.63,114.24,102.09
2025-04-30,Ward 12,2,0,4,71.99,120.0,102.09,114.6,114.62,98.07
2025-05-01,Ward 12,3,0,5,70.74,120.0,98.07,104.32,114.02,102.95
2025-05-02,Ward 12,4,0,5,68.98,120.0,102.95,101.04,111.74,101.78
2025-05-03,Ward 12,5,1,5,87.78,120.0,101.78,100.93,109.54,110.29
2025-05-04,Ward 12,6,1,5,76.26,120.0,110.29,105.01,108.13,126.34
2025-05-05,Ward 12,0,0,5,99.0,120.0,126.34,112.8,107.76,108.49
2025-05-06,Ward 12,1,0,5,78.92,120.0,108.49,115.04,107.14,102.72
2025-05-07,Ward 12,2,0,5,86.28,120.0,102.72,112.52,107.23,95.53
2025-05-08,Ward 12,3,0,5,72.52,120.0,95.53,102.25,106.87,105.8
2025-05-09,Ward 12,4,0,5,81.48,120.0,105.8,101.35,107.28,109.51
2025-05-10,Ward 12,5,1,5,80.65,120.0,109.51,103.61,108.38,110.78
2025-05-11,Ward 12,6,1,5,80.81,120.0,110.78,108.7,108.45,113.8
2025-05-12,Ward 12,0,0,5,84.8,120.0,113.8,111.36,106.66,105.22
2025-05-13,Ward 12,1,0,5,81.35,120.0,105.22,109.93,106.19,105.03
2025-05-14,Ward 12,2,0,5,79.67,120.0,105.03,108.02,106.52,102.74
2025-05-15,Ward 12,3,0,5,77.92,120.0,102.74,104.33,107.55,103.65
2025-05-16,Ward 12,4,0,5,74.54,120.0,103.65,103.81,107.25,111.3
2025-05-17,Ward 12,5,1,5,81.8,120.0,111.3,105.9,107.5,131.43
2025-05-18,Ward 12,6,1,5,99.0,120.0,131.43,115.46,110.45,126.62
2025-05-19,Ward 12,0,0,5,86.77,120.0,126.62,123.12,112.28,106.63
2025-05-20,Ward 12,1,0,5,85.71,120.0,106.63,121.56,112.49,101.66
2025-05-21,Ward 12,2,0,5,79.47,120.0,101.66,111.64,112.0,88.93
2025-05-22,Ward 12,3,0,5,74.81,120.0,88.93,99.07,110.03,100.69
2025-05-23,Ward 12,4,0,5,70.99,120.0,100.69,97.09,109.61,104.59
2025-05-24,Ward 12,5,1,5,79.97,120.0,104.59,98.07,108.65,115.9
2025-05-25,Ward 12,6,1,5,83.32,120.0,115.9,107.06,106.43,114.86
2025-05-26,Ward 12,0,0,5,82.96,120.0,114.86,111.78,104.75,107.6
2025-05-27,Ward 12,1,0,5,87.64,120.0,107.6,112.79,104.89,83.19
2025-05-28,Ward 12,2,0,5,65.88,120.0,83.19,101.88,102.25,89.96
2025-05-29,Ward 12,3,0,5,72.21,120.0,89.96,93.58,102.4,93.68
2025-05-30,Ward 12,4,0,5,63.96,120.0,93.68,88.94,101.4,103.89
2025-05-31,Ward 12,5,1,5,86.91,120.0,103.89,95.84,101.3,104.89
2025-06-01,Ward 12,6,1,6,83.13,120.0,104.89,100.82,99.72,107.64
2025-06-02,Ward 12,0,0,6,80.0,120.0,107.64,105.47,98.69,95.57
2025-06-03,Ward 12,1,0,6,72.09,120.0,95.57,102.7,96.97,98.11
2025-06-04,Ward 12,2,0,6,78.06,120.0,98.11,100.44,99.11,104.48
2025-06-05,Ward 12,3,0,6,84.48,120.0,104.48,99.39,101.18,103.88
2025-06-06,Ward 12,4,0,6,86.99,120.0,103.88,102.16,102.64,110.03
2025-06-07,Ward 12,5,1,6,85.74,120.0,110.03,106.13,103.51,113.6
2025-06-08,Ward 12,6,1,6,83.87,120.0,113.6,109.17,104.76,108.25
2025-06-09,Ward 12,0,0,6,85.58,120.0,108.25,110.63,104.85,95.55
2025-06-10,Ward 12,1,0,6,77.67,120.0,95.55,105.8,104.84,89.92
2025-06-11,Ward 12,2,0,6,76.56,120.0,89.92,97.91,103.67,95.13
2025-06-12,Ward 12,3,0,6,82.63,120.0,95.13,93.53,102.34,101.2
2025-06-13,Ward 12,4,0,6,68.96,120.0,101.2,95.42,101.95,102.68
2025-06-14,Ward 12,5,1,6,71.76,120.0,102.68,99.67,100.9,106.51
2025-06-15,Ward 12,6,1,6,87.25,120.0,106.51,103.46,99.89,112.32
2025-06-16,Ward 12,0,0,6,79.35,120.0,112.32,107.17,100.47,95.42
2025-06-17,Ward 12,1,0,6,73.85,120.0,95.42,104.75,100.45,81.46
2025-06-18,Ward 12,2,0,6,62.77,120.0,81.46,96.4,99.25,86.07
2025-06-19,Ward 12,3,0,6,74.4,120.0,86.07,87.65,97.95,94.5
2025-06-20,Ward 12,4,0,6,61.73,120.0,94.5,87.34,96.99,99.79
2025-06-21,Ward 12,5,1,6,76.41,120.0,99.79,93.45,96.58,109.83
2025-06-22,Ward 12,6,1,6,89.57,120.0,109.83,101.37,97.06,95.97
2025-06-23,Ward 12,0,0,6,71.03,120.0,95.97,101.86,94.72,96.29
2025-06-24,Ward 12,1,0,6,66.25,120.0,96.29,100.7,94.84,94.99
2025-06-25,Ward 12,2,0,6,75.29,120.0,94.99,95.75,96.78,93.97
2025-06-26,Ward 12,3,0,6,70.05,120.0,93.97,95.08,97.91,96.78
2025-06-27,Ward 12,4,0,6,79.76,120.0,96.78,95.25,98.23,101.32
2025-06-28,Ward 12,5,1,6,78.05,120.0,101.32,97.36,98.45,108.79
2025-06-29,Ward 12,6,1,6,76.61,120.0,108.79,102.3,98.3,104.53
2025-06-30,Ward 12,0,0,6,77.86,120.0,104.53,104.88,99.52,98.39
2025-07-01,Ward 12,1,0,7,80.29,120.0,98.39,103.9,99.82,81.75
2025-07-02,Ward 12,2,0,7,65.66,120.0,81.75,94.89,97.93,90.96
2025-07-03,Ward 12,3,0,7,67.55,120.0,90.96,90.37,97.5,84.35
2025-07-04,Ward 12,4,0,7,68.7,120.0,84.35,85.69,95.73,97.73
2025-07-05,Ward 12,5,1,7,74.99,120.0,97.73,91.01,95.21,111.83
2025-07-06,Ward 12,6,1,7,86.86,120.0,111.83,97.97,95.65,111.16
2025-07-07,Ward 12,0,0,7,84.98,120.0,111.16,106.91,96.6,111.59
2025-07-08,Ward 12,1,0,7,81.42,120.0,111.59,111.53,98.48,79.43
2025-07-09,Ward 12,2,0,7,73.05,120.0,79.43,100.73,98.15,78.23
2025-07-10,Ward 12,3,0,7,64.91,120.0,78.23,89.75,96.33,90.99
2025-07-11,Ward 12,4,0,7,63.27,120.0,90.99,82.88,97.28,85.86
2025-07-12,Ward 12,5,1,7,60.5,120.0,85.86,85.03,95.58,92.06
2025-07-13,Ward 12,6,1,7,74.06,120.0,92.06,89.64,92.76,99.17
2025-07-14,Ward 12,0,0,7,77.1,120.0,99.17,92.36,91.05,81.98
2025-07-15,Ward 12,1,0,7,54.86,120.0,81.98,91.07,86.82,75.29
2025-07-16,Ward 12,2,0,7,60.42,120.0,75.29,85.48,86.23,77.79
2025-07-17,Ward 12,3,0,7,67.65,120.0,77.79,78.35,86.16,81.43
2025-07-18,Ward 12,4,0,7,69.91,120.0,81.43,78.17,84.8,89.15
2025-07-19,Ward 12,5,1,7,72.94,120.0,89.15,82.79,85.27,92.52
2025-07-20,Ward 12,6,1,7,71.22,120.0,92.52,87.7,85.33,94.74
2025-07-21,Ward 12,0,0,7,77.42,120.0,94.74,92.14,84.7,84.46
2025-07-22,Ward 12,1,0,7,70.36,120.0,84.46,90.57,85.05,74.67
2025-07-23,Ward 12,2,0,7,61.86,120.0,74.67,84.62,84.97,78.62
2025-07-24,Ward 12,3,0,7,54.62,120.0,78.62,79.25,85.08,70.24
2025-07-25,Ward 12,4,0,7,52.64,120.0,70.24,74.51,83.49,66.44
2025-07-26,Ward 12,5,1,7,54.6,120.0,66.44,71.77,80.24,89.2
2025-07-27,Ward 12,6,1,7,68.89,120.0,89.2,75.29,79.77,91.35
2025-07-28,Ward 12,0,0,7,76.93,120.0,91.35,82.33,79.28,91.61
2025-07-29,Ward 12,1,0,7,71.28,120.0,91.61,90.72,80.3,85.18
2025-07-30,Ward 12,2,0,7,68.6,120.0,85.18,89.38,81.81,71.53
2025-07-31,Ward 12,3,0,7,57.77,120.0,71.53,82.77,80.79,65.29
2025-08-01,Ward 12,4,0,8,52.92,120.0,65.29,74.0,80.09,75.0
2025-08-02,Ward 12,5,1,8,66.64,120.0,75.0,70.61,81.31,98.56
2025-08-03,Ward 12,6,1,8,68.48,120.0,98.56,79.62,82.65,95.11
2025-08-04,Ward 12,0,0,8,68.32,120.0,95.11,89.56,83.18,86.3
2025-08-05,Ward 12,1,0,8,68.09,120.0,86.3,93.32,82.42,63.1
2025-08-06,Ward 12,2,0,8,60.82,120.0,63.1,81.5,79.27,62.85
2025-08-07,Ward 12,3,0,8,53.37,120.0,62.85,70.75,78.03,62.75
2025-08-08,Ward 12,4,0,8,52.72,120.0,62.75,62.9,77.67,77.43
2025-08-09,Ward 12,5,1,8,63.0,120.0,77.43,67.68,78.01,89.12
2025-08-10,Ward 12,6,1,8,72.08,120.0,89.12,76.43,76.67,95.91
2025-08-11,Ward 12,0,0,8,72.24,120.0,95.91,87.49,76.78,73.41
2025-08-12,Ward 12,1,0,8,67.1,120.0,73.41,86.15,74.94,65.38
2025-08-13,Ward 12,2,0,8,62.99,120.0,65.38,78.23,75.26,68.28
2025-08-14,Ward 12,3,0,8,58.33,120.0,68.28,69.02,76.04,72.52
2025-08-15,Ward 12,4,0,8,71.04,120.0,72.52,68.73,77.44,91.98
2025-08-16,Ward 12,5,1,8,72.17,120.0,91.98,77.59,79.51,93.61
2025-08-17,Ward 12,6,1,8,78.09,120.0,93.61,86.04,80.16,84.83
2025-08-18,Ward 12,0,0,8,69.61,120.0,84.83,90.14,78.57,77.3
2025-08-19,Ward 12,1,0,8,65.44,120.0,77.3,85.25,79.13,63.28
2025-08-20,Ward 12,2,0,8,48.33,120.0,63.28,75.14,78.83,50.72
2025-08-21,Ward 12,3,0,8,43.89,120.0,50.72,63.77,76.32,58.99
2025-08-22,Ward 12,4,0,8,52.49,120.0,58.99,57.66,74.39,82.89
2025-08-23,Ward 12,5,1,8,72.43,120.0,82.89,64.2,73.09,81.94
2025-08-24,Ward 12,6,1,8,68.12,120.0,81.94,74.61,71.42,80.07
2025-08-25,Ward 12,0,0,8,63.95,120.0,80.07,81.63,70.74,74.26
2025-08-26,Ward 12,1,0,8,65.32,120.0,74.26,78.76,70.31,63.08
2025-08-27,Ward 12,2,0,8,61.49,120.0,63.08,72.47,70.28,55.78
2025-08-28,Ward 12,3,0,8,52.25,120.0,55.78,64.37,71.0,78.57
2025-08-29,Ward 12,4,0,8,65.67,120.0,78.57,65.81,73.8,87.49
2025-08-30,Ward 12,5,1,8,69.85,120.0,87.49,73.95,74.46,92.0
2025-08-31,Ward 12,6,1,8,71.55,120.0,92.0,86.02,75.89,85.4
2025-01-01,Ward 18,2,0,1,57.62,150.0,91.2,96.0,96.0,93.95
2025-01-02,Ward 18,3,0,1,58.45,150.0,93.95,93.95,93.95,100.31
2025-01-03,Ward 18,4,0,1,70.89,150.0,100.31,97.13,97.13,109.26
2025-01-04,Ward 18,5,1,1,67.91,150.0,109.26,101.17,101.17,119.24
2025-01-05,Ward 18,6,1,1,72.13,150.0,119.24,109.6,105.69,123.11
2025-01-06,Ward 18,0,0,1,66.19,150.0,123.11,117.2,109.17,108.64
2025-01-07,Ward 18,1,0,1,59.12,150.0,108.64,117.0,109.08,89.72
2025-01-08,Ward 18,2,0,1,67.7,150.0,89.72,107.16,106.32,100.48
2025-01-09,Ward 18,3,0,1,61.94,150.0,100.48,99.61,107.25,93.31
2025-01-10,Ward 18,4,0,1,47.61,150.0,93.31,94.5,106.25,100.42
2025-01-11,Ward 18,5,1,1,77.62,150.0,100.42,98.07,104.99,119.26
2025-01-12,Ward 18,6,1,1,70.88,150.0,119.26,104.33,104.99,121.19
2025-01-13,Ward 18,0,0,1,66.71,150.0,121.19,113.62,104.72,108.8
2025-01-14,Ward 18,1,0,1,69.64,150.0,108.8,116.42,104.74,100.34
2025-01-15,Ward 18,2,0,1,69.43,150.0,100.34,110.11,106.26,102.33
2025-01-16,Ward 18,3,0,1,69.68,150.0,102.33,103.82,106.52,101.07
2025-01-17,Ward 18,4,0,1,70.29,150.0,101.07,101.25,107.63,120.96
2025-01-18,Ward 18,5,1,1,69.57,150.0,120.96,108.12,110.56,119.31
2025-01-19,Ward 18,6,1,1,80.38,150.0,119.31,113.78,110.57,120.7
2025-01-20,Ward 18,0,0,1,81.32,150.0,120.7,120.32,110.5,111.98
2025-01-21,Ward 18,1,0,1,77.8,150.0,111.98,117.33,110.96,106.07
2025-01-22,Ward 18,2,0,1,69.25,150.0,106.07,112.92,111.77,113.6
2025-01-23,Ward 18,3,0,1,69.42,150.0,113.6,110.55,113.38,105.63
2025-01-24,Ward 18,4,0,1,65.53,150.0,105.63,108.43,114.04,116.88
2025-01-25,Ward 18,5,1,1,64.82,150.0,116.88,112.04,113.45,127.89
2025-01-26,Ward 18,6,1,1,74.73,150.0,127.89,116.8,114.68,132.63
2025-01-27,Ward 18,0,0,1,67.5,150.0,132.63,125.8,116.38,114.01
2025-01-28,Ward 18,1,0,1,62.97,150.0,114.01,124.84,116.67,100.78
2025-01-29,Ward 18,2,0,1,66.91,150.0,100.78,115.81,115.92,102.66
2025-01-30,Ward 18,3,0,1,65.22,150.0,102.66,105.82,114.35,107.1
2025-01-31,Ward 18,4,0,1,69.43,150.0,107.1,103.51,114.56,110.37
2025-02-01,Ward 18,5,1,2,73.36,150.0,110.37,106.71,113.63,128.14
2025-02-02,Ward 18,6,1,2,79.45,150.0,128.14,115.2,113.67,130.79
2025-02-03,Ward 18,0,0,2,80.16,150.0,130.79,123.1,113.41,132.8
2025-02-04,Ward 18,1,0,2,79.11,150.0,132.8,130.58,116.09,113.84
2025-02-05,Ward 18,2,0,2,67.56,150.0,113.84,125.81,117.96,103.55
2025-02-06,Ward 18,3,0,2,60.65,150.0,103.55,116.73,118.08,103.93
2025-02-07,Ward 18,4,0,2,66.68,150.0,103.93,107.11,117.63,118.38
2025-02-08,Ward 18,5,1,2,73.55,150.0,118.38,108.62,118.78,124.17
2025-02-09,Ward 18,6,1,2,80.31,150.0,124.17,115.49,118.21,132.29
2025-02-10,Ward 18,0,0,2,78.53,150.0,132.29,124.95,118.42,118.68
2025-02-11,Ward 18,1,0,2,76.17,150.0,118.68,125.05,116.41,112.44
2025-02-12,Ward 18,2,0,2,63.48,150.0,112.44,121.14,116.21,108.92
2025-02-13,Ward 18,3,0,2,70.51,150.0,108.92,113.35,116.97,107.99
2025-02-14,Ward 18,4,0,2,69.74,150.0,107.99,109.78,117.55,110.43
2025-02-15,Ward 18,5,1,2,76.53,150.0,110.43,109.11,116.42,134.48
2025-02-16,Ward 18,6,1,2,79.01,150.0,134.48,117.63,117.89,134.3
2025-02-17,Ward 18,0,0,2,68.15,150.0,134.3,126.4,118.18,115.65
2025-02-18,Ward 18,1,0,2,70.65,150.0,115.65,128.14,117.74,104.06
2025-02-19,Ward 18,2,0,2,70.66,150.0,104.06,118.0,116.55,120.36
2025-02-20,Ward 18,3,0,2,68.27,150.0,120.36,113.36,118.18,113.05
2025-02-21,Ward 18,4,0,2,72.17,150.0,113.05,112.49,118.9,131.99
2025-02-22,Ward 18,5,1,2,73.08,150.0,131.99,121.8,121.98,137.15
2025-02-23,Ward 18,6,1,2,90.54,150.0,137.15,127.4,122.37,126.34
2025-02-24,Ward 18,0,0,2,70.34,150.0,126.34,131.83,121.23,118.83
2025-02-25,Ward 18,1,0,2,70.89,150.0,118.83,127.44,121.68,117.87
2025-02-26,Ward 18,2,0,2,74.29,150.0,117.87,121.01,123.66,104.91
2025-02-27,Ward 18,3,0,2,70.04,150.0,104.91,113.87,121.45,110.69
2025-02-28,Ward 18,4,0,2,76.34,150.0,110.69,111.16,121.11,119.4
2025-03-01,Ward 18,5,1,3,70.56,150.0,119.4,111.67,119.31,134.42
2025-03-02,Ward 18,6,1,3,84.06,150.0,134.42,121.5,118.92,137.17
2025-03-03,Ward 18,0,0,3,73.01,150.0,137.17,130.33,120.47,129.33
2025-03-04,Ward 18,1,0,3,72.87,150.0,129.33,133.64,121.97,119.06
2025-03-05,Ward 18,2,0,3,66.47,150.0,119.06,128.52,122.14,117.88
2025-03-06,Ward 18,3,0,3,69.05,150.0,117.88,122.09,123.99,111.84
2025-03-07,Ward 18,4,0,3,74.03,150.0,111.84,116.26,124.16,125.72
2025-03-08,Ward 18,5,1,3,73.41,150.0,125.72,118.48,125.06,143.95
2025-03-09,Ward 18,6,1,3,82.18,150.0,143.95,127.17,126.42,139.41
2025-03-10,Ward 18,0,0,3,83.76,150.0,139.41,136.36,126.74,126.26
2025-03-11,Ward 18,1,0,3,79.07,150.0,126.26,136.54,126.3,115.47
2025-03-12,Ward 18,2,0,3,69.98,150.0,115.47,127.05,125.79,123.69
2025-03-13,Ward 18,3,0,3,70.4,150.0,123.69,121.81,126.62,108.17
2025-03-14,Ward 18,4,0,3,76.93,150.0,108.17,115.78,126.1,139.47
2025-03-15,Ward 18,5,1,3,80.41,150.0,139.47,123.78,128.06,130.37
2025-03-16,Ward 18,6,1,3,76.94,150.0,130.37,126.0,126.12,132.33
2025-03-17,Ward 18,0,0,3,78.39,150.0,132.33,134.06,125.11,120.17
2025-03-18,Ward 18,1,0,3,76.97,150.0,120.17,127.62,124.24,119.45
2025-03-19,Ward 18,2,0,3,66.29,150.0,119.45,123.98,124.81,120.77
2025-03-20,Ward 18,3,0,3,84.6,150.0,120.77,120.13,124.39,124.79
